# gals field z mass r_edge sigma_edge re n ar pa
4536 cosmos 0.360347130175077 63316822772.118034 23.5 5.713347884658921 2.5246 3.8036 0.8 80.0
4649 cosmos 0.7577000260353088 49625905104.03954 17.5 4.105952626170037 0.867516 3.5446 0.8781 -26.4115
4760 cosmos 0.7307999730110168 29468584586.694225 13.5 5.183470049890879 0.70353 0.8817 0.6 30.0
4781 cosmos 0.602918788650939 49591037407.39555 13.5 11.536342616762784 0.549048 1.7741 0.7799 1.6602
4792 cosmos 0.9254000186920166 67272313918.22159 12.5 22.946691609247186 0.60951 0.8692 0.57 -25.0
4914 cosmos 0.3812 19964640306.63854 17.5 1.7008564532341883 0.893652 1.067 0.3215 6.0774
5127 cosmos 0.9868000149726868 17036801672.717466 5.5 77.15489753892925 0.263844 0.7873 0.372 77.4372
5155 cosmos 0.7982 76950101257.57274 10.5 21.814567515579224 0.30363 3.1845 0.7784 86.7384
5204 cosmos 0.9571999907493591 75323927803.57979 9.5 44.36708061591632 0.375108 1.4652 0.4631 20.4327
5227 cosmos 0.1857 19988141346.400776 16.5 1.6455500549973014 0.86718 1.9631 0.5 -15.0
5276 cosmos 0.659500002861023 42172659426.47033 13.5 8.677865157181515 0.34083 2.6436 0.3948 74.0207
5357 cosmos 0.7483000159263611 128447459587.01208 19.5 8.92736985258766 0.772494 2.7274 0.8844 10.7996
5522 cosmos 0.9513000249862671 25798474799.36377 6.5 43.511418653653635 0.328458 1.0057 0.4181 71.5908
5693 cosmos 0.6762 30861339066.168 16.5 4.559214144664296 0.903624 0.9729 0.3402 74.1674
5765 cosmos 0.9067999720573425 124093932596.84285 12.5 41.15577316600552 0.519498 2.5194 0.57 90.0
5828 cosmos 0.6806 81253706144.64156 11.5 21.468330852681213 0.302082 1.7562 0.4349 -4.7812
5849 cosmos 0.3446 52557419916.451225 21.5 1.911630910179916 1.92775 5.5003 0.95 -60.0
5942 cosmos 0.5184 18220024543.38841 10.5 6.761873747876962 0.267048 7.0141 0.547 -45.6495
6253 cosmos 0.7273 37685602673.84414 11.5 8.633843896534298 0.442968 1.3836 0.441 74.8874
6310 cosmos 0.5327 25884532143.694107 17.5 2.1758723470246966 0.713556 4.4306 0.3521 41.0276
6327 cosmos 0.5324 17490150970.043087 14.5 0.6240036947264985 0.58131 0.8678 0.2598 21.5865
6339 cosmos 0.2493 15034829755.343292 11.5 3.463749166684286 0.597804 2.7147 0.7933 -18.7844
6368 cosmos 0.5042 31196883054.71327 11.5 5.2247165758701355 0.503808 1.7017 0.734 -45.3814
6529 cosmos 0.7267000079154968 79598651546.67883 14.5 13.501457387930184 0.367962 2.7122 0.5109 64.0786
6779 cosmos 0.7315 109442905072.71632 22.5 5.474127980340981 0.80049 5.0187 0.5 -13.0
6800 cosmos 0.9257000088691711 89517033575.19247 16.5 16.176607226305837 0.771438 2.1458 0.5807 -0.0683
6811 cosmos 0.7337999939918518 19855862618.999115 13.5 2.588104315276427 0.416694 2.9221 0.6371 60.8783
6884 cosmos 0.642300009727478 27852820117.81347 11.5 11.15876200229688 0.338028 1.6851 0.6396 50.7196
6978 cosmos 0.75 23001947102.380352 10.5 18.354010108647888 0.565842 0.5453 0.74 -30.0
7129 cosmos 0.9976999759674072 28527766385.28346 7.5 45.695708905636096 0.3168 0.4308 0.7394 24.9397
7224 cosmos 0.7482 25619702261.9527 8.5 16.305883752210313 0.282198 0.8411 0.5646 23.0576
7388 cosmos 0.8313000202178955 24402632024.562252 8.5 16.9795337477733 0.20271 2.8548 0.528 29.9205
7491 cosmos 0.7494000196456909 130113424100.57133 16.5 16.454064693363527 0.494706 5.5526 0.85 -38.0
