x_pos y_pos RA DEC amp e_amp VLSR e_VLSR vel_disp e_vel_disp int_tot e_int_tot rms pvalue aicc rchi2 ncomps ncomp_wmedian ncomp_jumps flag_blended flag_neg_res_peak flag_broad flag_centroid
6 0 161.7211 -27.7686 7.0511 3.0911 0.3791 0.0416 1.1265 0.1195 19.9102 11.7652 0.0543 0.0785 -964.8010 1.2362 9 9 0 1 0 0 1
6 0 161.7211 -27.7686 0.0838 0.0135 170.1332 2.1197 11.3558 2.1197 2.3849 0.9026 0.0543 0.0785 -964.8010 1.2362 9 9 0 0 0 0 1
6 0 161.7211 -27.7686 15.2568 0.6853 -5.6155 0.1010 2.5779 0.0459 98.5870 6.2647 0.0543 0.0785 -964.8010 1.2362 9 9 0 1 0 0 1
6 0 161.7211 -27.7686 3.6646 1.7384 -4.1645 0.1001 0.7697 0.0890 7.0702 4.5599 0.0543 0.0785 -964.8010 1.2362 9 9 0 1 0 0 1
7 0 161.6315 -27.7686 14.6772 2.1506 -4.9905 0.0539 1.4022 0.0570 51.5866 9.9652 0.0529 0.3003 -800.9423 1.1038 9 9 0 1 0 0 0
7 0 161.6315 -27.7686 5.6291 0.4075 0.5133 0.0263 1.0960 0.0405 15.4641 1.7317 0.0529 0.3003 -800.9423 1.1038 9 9 0 1 0 0 0
7 0 161.6315 -27.7686 1.6863 0.0485 -21.9394 0.0673 2.8778 0.0913 12.1644 0.7469 0.0529 0.3003 -800.9423 1.1038 9 9 0 0 1 0 0
7 0 161.6315 -27.7686 4.5979 0.0438 -12.8431 0.2405 11.1791 0.1472 128.8421 2.9410 0.0529 0.3003 -800.9423 1.1038 9 9 0 0 1 0 0
7 0 161.6315 -27.7686 0.2331 0.0121 27.1264 2.1127 15.2340 1.8465 8.9026 1.5958 0.0529 0.3003 -800.9423 1.1038 9 9 0 0 0 0 0
7 0 161.6315 -27.7686 5.0048 0.3687 -0.7523 0.2903 2.7966 0.2213 35.0842 5.5646 0.0529 0.3003 -800.9423 1.1038 9 9 0 1 0 0 0
7 0 161.6315 -27.7686 0.1148 0.0141 -47.9408 2.9022 10.5549 2.6571 3.0362 1.2326 0.0529 0.3003 -800.9423 1.1038 9 9 0 0 0 0 0
7 0 161.6315 -27.7686 9.1896 1.2875 -7.1069 0.4055 2.1039 0.1496 48.4632 10.7190 0.0529 0.3003 -800.9423 1.1038 9 9 0 1 0 0 0
7 0 161.6315 -27.7686 1.0586 0.3110 -3.9607 0.0855 0.5566 0.1093 1.4769 0.8093 0.0529 0.3003 -800.9423 1.1038 9 9 0 1 0 0 0
8 0 161.5419 -27.7686 15.2530 0.7328 -4.9722 0.0360 1.4386 0.0402 55.0022 4.2535 0.0480 0.8356 -800.7754 1.1866 10 9 0 1 0 0 2
8 0 161.5419 -27.7686 7.2536 0.3404 0.3792 0.0271 1.3646 0.0434 24.8105 1.9914 0.0480 0.8356 -800.7754 1.1866 10 9 0 0 0 0 2
8 0 161.5419 -27.7686 3.9463 0.3252 -20.2582 0.6721 5.0435 0.6098 49.8898 10.6408 0.0480 0.8356 -800.7754 1.1866 10 9 0 1 0 0 2
8 0 161.5419 -27.7686 5.0351 0.3113 -7.9900 0.1519 1.5783 0.0854 19.9204 2.3764 0.0480 0.8356 -800.7754 1.1866 10 9 0 1 0 0 2
8 0 161.5419 -27.7686 1.1208 0.3719 -10.4611 1.8522 17.5215 2.0100 49.2251 23.8556 0.0480 0.8356 -800.7754 1.1866 10 9 0 1 0 0 2
8 0 161.5419 -27.7686 0.4152 0.1051 4.0203 0.2465 1.1261 0.2699 1.1721 0.6488 0.0480 0.8356 -800.7754 1.1866 10 9 0 0 0 0 2
8 0 161.5419 -27.7686 6.3974 0.5362 -5.3923 0.3999 5.3532 0.3561 85.8437 13.3838 0.0480 0.8356 -800.7754 1.1866 10 9 0 1 0 0 2
8 0 161.5419 -27.7686 0.2861 0.5439 -30.0998 9.1370 4.8130 3.9424 3.4513 14.7640 0.0480 0.8356 -800.7754 1.1866 10 9 0 0 0 0 2
8 0 161.5419 -27.7686 0.5892 0.0987 -22.5346 0.1336 1.3832 0.1950 2.0429 0.6785 0.0480 0.8356 -800.7754 1.1866 10 9 0 1 0 0 2
8 0 161.5419 -27.7686 0.1387 0.0265 36.5365 3.2278 10.6359 2.2383 3.6966 1.6337 0.0480 0.8356 -800.7754 1.1866 10 9 0 0 0 0 2
9 0 161.4522 -27.7686 7.7815 0.5948 -4.8506 0.0249 1.1997 0.0422 23.4001 2.6742 0.0494 0.4220 -734.7983 1.1704 9 8 0 1 0 0 3
9 0 161.4522 -27.7686 6.4119 1.6297 0.2332 0.0298 1.3643 0.0926 21.9278 7.4401 0.0494 0.4220 -734.7983 1.1704 9 8 0 1 0 0 3
9 0 161.4522 -27.7686 0.5702 0.2267 -22.6196 0.1654 1.6468 0.3545 2.3536 1.6438 0.0494 0.4220 -734.7983 1.1704 9 8 0 1 0 0 3
9 0 161.4522 -27.7686 1.0382 0.1966 -8.9362 0.1011 0.8711 0.1197 2.2668 0.7998 0.0494 0.4220 -734.7983 1.1704 9 8 0 0 0 0 3
9 0 161.4522 -27.7686 1.9559 1.1379 1.9510 1.9861 2.4382 0.7527 11.9538 12.7923 0.0494 0.4220 -734.7983 1.1704 9 8 0 1 0 0 3
9 0 161.4522 -27.7686 11.1132 0.5505 -5.8983 0.1910 2.8939 0.0966 80.6145 6.8173 0.0494 0.4220 -734.7983 1.1704 9 8 0 1 0 0 3
